Summary,Issue Type,Priority,Labels,Labels,Labels,Labels,Labels,Labels,Description,ID Historia,Épica (área),Prioridad calculada,Severidad calculada,Tareas técnicas,Octubre
"[H-OPS-20] Que los permisos por rol protejan los datos, no sólo las pantallas",Story,Highest,historia,operaciones-y-equipo,p0,sev-alta,para-confirmar,,"*Historia:* Como founder, quiero crear roles y decidir por módulo si no tienen acceso, sólo ven o tienen acceso completo, y que eso se cumpla de verdad, para que cada persona toque sólo lo que le corresponde.

*Criterios de aceptación:*
* Dado un miembro con Finanzas o Equipo en ""Sin acceso"", aunque intente guardar gastos, compensaciones, liquidaciones o cambios de equipo por fuera de la pantalla, no puede y no se guarda nada.
* Dado un miembro con Finanzas en ""Ver"", no ve los botones de edición y si intenta editar un gasto, falla.
* Un miembro no puede cambiar los permisos de su propio rol.
* Hay una prueba automática de los tres niveles: sin acceso, ver y completo.

*Tareas técnicas (PENDIENTES.md):*
* [PERMISOS-SERVER-ACTIONS/ops-fin-prod] Las actions y la RLS de estas áreas no miran el rol [transversal] (P1)
* [PERMISOS-SERVER-ACTIONS] Los permisos por módulo no protegen datos, sólo pantallas (P0)

*Para confirmar:*
* Agustín: confirmar que ""Ver"" significa ""no puede editar nada del módulo"".

Funcionalidad: F-OPS-20 · Con fallas · docs/FUNCIONAL.md · Fuente: docs/backlog/historias.md [H-OPS-20]",H-OPS-20,Operaciones y equipo,P0,Alta,PERMISOS-SERVER-ACTIONS/ops-fin-prod PERMISOS-SERVER-ACTIONS,
[H-OPS-22] Cortarle el acceso a un miembro desactivado,Story,Highest,historia,operaciones-y-equipo,p0,sev-critica,para-confirmar,,"*Historia:* Como founder, quiero desactivar a un miembro y que deje de entrar en ese momento, para que alguien que se fue del equipo no pueda ver ni tocar los datos del negocio.

*Criterios de aceptación:*
* Dado un miembro con la sesión abierta, cuando lo desactivo en Equipo, al recargar cualquier página queda sin acceso.
* Si intenta iniciar sesión otra vez con su usuario y contraseña, no puede entrar.
* Hay una prueba automática que cubre que un miembro inactivo no pasa.

*Tareas técnicas (PENDIENTES.md):*
* [EQUIPO-DESACTIVAR-NO-BLOQUEA] Un miembro desactivado sigue entrando y viendo todo [Operaciones y equipo] (P0)

*Para confirmar:*
* ---

Funcionalidad: F-OPS-22 · No funciona · docs/FUNCIONAL.md · Fuente: docs/backlog/historias.md [H-OPS-22]",H-OPS-22,Operaciones y equipo,P0,Crítica,EQUIPO-DESACTIVAR-NO-BLOQUEA,
[H-PLA-01] Entrar a mi cuenta de forma segura,Story,Highest,historia,plataforma,p0,sev-critica,,,"*Historia:* Como miembro del equipo, quiero entrar con mi email y contraseña sin que un tercero pueda dejarme afuera y sabiendo que quien fue dado de baja ya no entra, para trabajar tranquilo y que los datos del negocio queden sólo en manos de quien corresponde.

*Criterios de aceptación:*
* Dado que alguien prueba seis veces una contraseña equivocada con mi email desde otra computadora, cuando yo intento entrar desde la mía, entonces puedo entrar igual.
* Dado que alguien prueba muchas contraseñas contra emails distintos desde un mismo lugar, entonces queda bloqueado y, después de varios intentos fallidos, la pantalla de ingreso le pide un captcha.
* Dado un miembro con la sesión abierta, cuando el founder lo desactiva en Equipo, entonces al recargar cualquier pantalla queda sin acceso y si vuelve a intentar entrar con su contraseña es rechazado.
* Después de entrar, siempre termino dentro de la aplicación (nunca en otro sitio, aunque el link traiga una dirección externa), y hay pruebas automáticas que cubren el ingreso, el bloqueo de desactivados y el caso del holding.

*Tareas técnicas (PENDIENTES.md):*
* [LOGIN-RATE-LIMIT] Rate limit de login sólo por email (P1)
* [EQUIPO-DESACTIVAR-NO-BLOQUEA] Un miembro desactivado sigue entrando y viendo todo [Operaciones y equipo] (P0)
* [AUTH-CALLBACK-NEXT] Open redirect en /auth/callback (nuevo) (P0)
* [TESTS-AUTH] Auth, holding y middleware sin tests (auditoría §3 salud 4) (P2)

Funcionalidad: F-PLA-01 · Con fallas · docs/FUNCIONAL.md · Fuente: docs/backlog/historias.md [H-PLA-01]",H-PLA-01,Plataforma,P0,Crítica,LOGIN-RATE-LIMIT EQUIPO-DESACTIVAR-NO-BLOQUEA AUTH-CALLBACK-NEXT TESTS-AUTH,
[H-PLA-03] Recuperar una contraseña olvidada,Story,Highest,historia,plataforma,p0,sev-media,para-confirmar,,"*Historia:* Como miembro del equipo, quiero recuperar mi contraseña por mail cuando me la olvido, para no quedar afuera esperando que alguien me resetee el acceso a mano.

*Criterios de aceptación:*
* Dado que estoy en la pantalla de ingreso, cuando toco ""¿Olvidaste tu contraseña?"", entonces me pide el mail y muestra el mismo mensaje exista o no una cuenta con ese mail.
* Dado que mi cuenta existe, cuando abro el link del mail que me llega, entonces caigo en la pantalla para poner una contraseña nueva dentro de la aplicación, la guardo y puedo entrar con ella.
* Un mail que no tiene cuenta no recibe nada y la pantalla no deja adivinar que no existe.

*Tareas técnicas (PENDIENTES.md):*
* [AUTH-RECUPERAR-PASSWORD] (nuevo) ""¿Olvidaste tu contraseña?"" no hace nada (P1)
* [AUTH-CALLBACK-NEXT] Open redirect en /auth/callback (nuevo) (P0)

*Para confirmar:*
* Martín: el login interno del staff de Limitless tiene el mismo link que no hace nada; ¿entra en esta historia o se saca de esa pantalla?

Funcionalidad: F-PLA-03 · A medias · docs/FUNCIONAL.md · Fuente: docs/backlog/historias.md [H-PLA-03]",H-PLA-03,Plataforma,P0,Media,AUTH-RECUPERAR-PASSWORD AUTH-CALLBACK-NEXT,
[H-PLA-06] Que los roles del equipo realmente limiten lo que cada uno puede cambiar,Story,Highest,historia,plataforma,p0,sev-alta,,,"*Historia:* Como founder, quiero que los roles que armo por módulo (""sin acceso"", ""ver"", ""completo"") limiten también lo que cada persona puede modificar, para confiarle la cuenta a mi equipo sin que nadie se dé más permisos de los que le di.

*Criterios de aceptación:*
* Dado un miembro cuyo rol tiene Finanzas, Integraciones y Ajustes en ""sin acceso"", cuando intenta por fuera de la pantalla cambiar la clave de Claude, desconectar una integración, cambiar comisiones de closers o tocar la configuración de Discord, entonces recibe un error de permiso y no cambia nada.
* Ese mismo miembro no puede modificar su propio rol para darse acceso completo, ni tocar invitaciones, datos de la organización, finanzas o integraciones; el founder sí puede.
* Se probó el bloqueo con una segunda cuenta con rol limitado y el resultado de cada paso quedó anotado.

*Tareas técnicas (PENDIENTES.md):*
* [PERMISOS-SERVER-ACTIONS] Los permisos por módulo no protegen datos, sólo pantallas (P0)
* [PERMISOS-VERIFICAR-SESION] Probar el bloqueo con un rol limitado (ex bloque de PLAN_VERIFICACION) (P1)

Funcionalidad: F-PLA-06 · Con fallas · docs/FUNCIONAL.md · Fuente: docs/backlog/historias.md [H-PLA-06]",H-PLA-06,Plataforma,P0,Alta,PERMISOS-SERVER-ACTIONS PERMISOS-VERIFICAR-SESION,
[H-PLA-15] Ver en el Panel General números completos y propios,Story,Highest,historia,plataforma,p0,sev-alta,para-confirmar,,"*Historia:* Como founder, quiero que el Panel General muestre mis KPIs, embudo, ingresos, ventas y ranking de closers con todos los datos de mi negocio, para tomar decisiones con números que no estén cortados.

*Criterios de aceptación:*
* Dado un negocio con más de 1.000 turnos, cuando abro el Panel, entonces las ventas, el ranking de closers y el embudo incluyen los turnos más recientes (los del mes coinciden con los que hay guardados).
* Los números del Panel sólo incluyen turnos de mi organización, nunca de otra.
* El embudo del Panel incluye el tramo de mensajes directos (conversaciones y respuestas), o deja claro que arranca en las llamadas.

*Tareas técnicas (PENDIENTES.md):*
* [CLOSING-LIST-1000] El calendario y la lista de Closing pierden los turnos más recientes (P0)
* [EMBUDO-PANEL-DMS] El embudo del panel no mide DMs (P2)

*Para confirmar:*
* Agustín: ¿el embudo del Panel tiene que contar los mensajes directos de la bandeja nueva, o alcanza con que arranque en las llamadas?

Funcionalidad: F-PLA-15 · Con fallas · docs/FUNCIONAL.md · Fuente: docs/backlog/historias.md [H-PLA-15]",H-PLA-15,Plataforma,P0,Alta,CLOSING-LIST-1000 EMBUDO-PANEL-DMS,
[H-PLA-18] Que sólo quien corresponde cambie los datos de la organización,Story,Highest,historia,plataforma,p0,sev-alta,,,"*Historia:* Como founder, quiero que sólo quien tiene acceso a Ajustes pueda cambiar el nombre, la web, la moneda y la zona horaria de la organización, para que nadie del equipo altere por su cuenta cómo se muestran los números de todos.

*Criterios de aceptación:*
* Dado alguien con acceso a Ajustes, cuando edita los datos generales, entonces se guardan como hoy.
* Dado un miembro con Ajustes en ""sin acceso"", cuando intenta cambiar esos datos (incluso por fuera de la pantalla), entonces recibe un error de permiso y no cambia nada.

*Tareas técnicas (PENDIENTES.md):*
* [PERMISOS-SERVER-ACTIONS] Los permisos por módulo no protegen datos, sólo pantallas (P0)

Funcionalidad: F-PLA-18 · Con fallas · docs/FUNCIONAL.md · Fuente: docs/backlog/historias.md [H-PLA-18]",H-PLA-18,Plataforma,P0,Alta,PERMISOS-SERVER-ACTIONS,
[H-PLA-20] Usar mi propia clave de Claude sin sorpresas,Story,Highest,historia,plataforma,p0,sev-alta,,,"*Historia:* Como founder, quiero cargar mi propia clave de Claude, enterarme si deja de funcionar y que nadie de mi equipo sin permiso la pueda cambiar, para que la IA de mi negocio siga trabajando y se cobre en mi cuenta.

*Criterios de aceptación:*
* Dado un miembro con Ajustes en ""sin acceso"", cuando intenta cambiar o borrar la clave (incluso por fuera de la pantalla), entonces recibe un error de permiso y la clave no cambia.
* Dado que mi clave es rechazada por Claude, entonces veo el aviso rojo en la aplicación y el trabajo de IA de mi negocio sigue (con la clave de Limitless) o queda claro que está frenado hasta que cargue una nueva.
* Se probó con la organización que hoy tiene la clave rechazada y el resultado quedó anotado.

*Tareas técnicas (PENDIENTES.md):*
* [PERMISOS-SERVER-ACTIONS] Los permisos por módulo no protegen datos, sólo pantallas (P0)
* [1A1-CLAVE-ANTHROPIC-ROTA] Una organización sin clave válida y sin clave global (P0)

Funcionalidad: F-PLA-20 · Con fallas · docs/FUNCIONAL.md · Fuente: docs/backlog/historias.md [H-PLA-20]",H-PLA-20,Plataforma,P0,Alta,PERMISOS-SERVER-ACTIONS 1A1-CLAVE-ANTHROPIC-ROTA,
[H-PLA-21] Ver y manejar todas mis integraciones en un tablero confiable,Story,Highest,historia,plataforma,p0,sev-alta,,,"*Historia:* Como founder, quiero ver mis integraciones con un estado que refleje lo que realmente pasa y poder conectarlas o desconectarlas sólo yo o quien autorice, para saber qué datos están entrando y arreglar lo que falla.

*Criterios de aceptación:*
* Dado que conecto VTurb, Hyros o WebinarJam con una clave inválida, cuando vuelvo al tablero, entonces la tarjeta aparece ""Con error"" con un texto que dice qué hacer; probado con cuentas reales y el resultado quedó anotado.
* Dado un miembro con Integraciones en ""sin acceso"", cuando intenta desconectar una integración (incluso por fuera de la pantalla), entonces recibe un error de permiso y la integración sigue conectada.
* Hay una prueba automática que filtra por ""requieren atención"", abre un detalle y vuelve.

*Tareas técnicas (PENDIENTES.md):*
* [INTEGRACIONES-VERIFICAR] Incidencias del tablero con datos reales (P2)
* [PERMISOS-SERVER-ACTIONS] Los permisos por módulo no protegen datos, sólo pantallas (P0)
* [INTEGRACIONES-PLAYWRIGHT] E2E del tablero de Integraciones (P2)

Funcionalidad: F-PLA-21 · Con fallas · docs/FUNCIONAL.md · Fuente: docs/backlog/historias.md [H-PLA-21]",H-PLA-21,Plataforma,P0,Alta,INTEGRACIONES-VERIFICAR PERMISOS-SERVER-ACTIONS INTEGRACIONES-PLAYWRIGHT,
"[H-VEN-08] Ver en Closing todos los turnos del negocio activo, incluidos los más nuevos",Story,Highest,historia,ventas,p0,sev-alta,,,"*Historia:* Como closer, quiero ver en el calendario y en la lista de Closing todos los turnos de mi negocio, incluidos los de hoy y de esta semana, para poder cargar su resultado a tiempo.

*Criterios de aceptación:*
* Dada una organización con más de 1.000 turnos, cuando abro Closing, entonces el calendario y la lista muestran todos los turnos del mes actual (la misma cantidad que tiene guardada el sistema).
* Nunca aparece un turno de otra organización.
* Dado un admin del holding con el negocio A activo, cuando abre Closing y Seguimiento, entonces ve sólo turnos y leads de A, y puede marcar un resultado y editar una fila de Seguimiento sin error.

*Tareas técnicas (PENDIENTES.md):*
* [CLOSING-LIST-1000] El calendario y la lista de Closing pierden los turnos más recientes (P0)
* [CLOSING-HOLDING-MEZCLA] En modo holding, Closing mezcla turnos de varios negocios (P1)

Funcionalidad: F-VEN-08 · Con fallas · docs/FUNCIONAL.md · Fuente: docs/backlog/historias.md [H-VEN-08]",H-VEN-08,Ventas,P0,Alta,CLOSING-LIST-1000 CLOSING-HOLDING-MEZCLA,
[H-VEN-17] Ver facturación y comisión por closer completas en Métricas,Story,Highest,historia,ventas,p0,sev-alta,para-confirmar,,"*Historia:* Como founder, quiero ver en Métricas la facturación y la comisión estimada de cada closer sobre todos los turnos del período, para pagar comisiones y comparar closers con números completos.

*Criterios de aceptación:*
* Dada una organización con más de 1.000 turnos, cuando abro Métricas, entonces la facturación por closer del mes actual incluye los turnos más recientes y coincide con lo que tiene guardado el sistema para ese mes.
* Nunca se suman turnos de otra organización.

*Tareas técnicas (PENDIENTES.md):*
* [CLOSING-LIST-1000] El calendario y la lista de Closing pierden los turnos más recientes (P0)

*Para confirmar:*
* Agustín: la comisión se calcula con un porcentaje fijo para todos; ¿alcanza o hay que usar la comisión de cada closer? No hay tarea para eso.
* Martín: no se confirmó que alguna organización pase hoy los 1.000 turnos; si ninguna los pasa, la falla todavía no se ve.

Funcionalidad: F-VEN-17 · Con fallas · docs/FUNCIONAL.md · Fuente: docs/backlog/historias.md [H-VEN-17]",H-VEN-17,Ventas,P0,Alta,CLOSING-LIST-1000,
