Summary,Issue Type,Priority,Labels,Labels,Labels,Labels,Labels,Description,ID Limitless,Área,Prioridad Limitless,Tipo Limitless
[PERMISOS-LAYOUT-NAV-SUAVE] El bloqueo por módulo vive en un layout que no se re-renderiza al navegar (nuevo),Bug,High,plataforma,p1,seguridad,verificacion-manual,,"*Tipo:* seguridad / verificación manual

*Estado verificado:* el chequeo {{sinAcceso}} está en {{app/(platform)/layout.tsx}} leyendo {{x-pathname}}. En App Router los layouts compartidos no se re-renderizan en navegaciones cliente; la paleta ⌘K ({{routes/navigation.ts}} → {{buildPlatformNavigation()}}) lista todos los módulos sin filtrar permisos ni add-ons. Muy probable que {{Cmd+K → Finanzas}} muestre la pantalla a un rol sin acceso.

*Qué hay que hacer:* verificar en navegador; si se confirma, mover el chequeo a cada {{page.tsx}} (o a un layout por módulo) y filtrar la paleta con {{canSeeNavItem}}.

*Criterio de aceptación:* Se ejecutó el paso 5 del bloque «Permisos por módulo» de verificacion-manual.md con un member sin acceso a Finanzas y el resultado quedó anotado; si falló, abrir Finanzas desde ⌘K o desde un link interno estando en /dashboard muestra «No tenés acceso» igual que tipeando la URL; la paleta ⌘K de ese member no lista Finanzas

*Dónde:* {{apps/web/app/(platform)/layout.tsx}}, {{apps/web/components/navigation/command-palette.tsx}}, {{apps/web/routes/navigation.ts}}.

Fuente: PENDIENTES.md [PERMISOS-LAYOUT-NAV-SUAVE] · Doc del área: docs/areas/plataforma.md",PERMISOS-LAYOUT-NAV-SUAVE,Plataforma,P1,seguridad / verificación manual
[PERMISOS-FOUNDER-AREA] /founder no pasa por el bloqueo de permisos (nuevo),Bug,High,plataforma,p1,seguridad,,,"*Tipo:* seguridad

*Estado verificado:* {{module-for-path.ts}} mapea {{/founder}} → {{operations}}, pero la ruta vive en {{app/(founder)/}}, cuyo layout ({{layouts/founder-layout.tsx}}) no chequea nada. El test de {{module-for-path}} sólo recorre {{app/(platform)}}.

*Qué hay que hacer:* mover {{/founder}} bajo {{(platform)}} o replicar el chequeo en {{app/(founder)/layout.tsx}}; extender el test a {{(founder)}}.

*Criterio de aceptación:* Un member sin acceso a Operaciones que abre /founder ve la pantalla de «No tenés acceso»; el founder sigue viendo /founder; el test de module-for-path recorre también las rutas de app/(founder) y pasa

*Dónde:* {{apps/web/app/(founder)/}}, {{apps/web/lib/navigation/module-for-path.ts}}.

Fuente: PENDIENTES.md [PERMISOS-FOUNDER-AREA] · Doc del área: docs/areas/plataforma.md",PERMISOS-FOUNDER-AREA,Plataforma,P1,seguridad
[HOLDING-PORTFOLIO-ROL] El portfolio del holding no mira el rol,Bug,High,plataforma,p1,seguridad,,,"*Tipo:* seguridad

*Estado verificado:* policies {{holding_reads_portfolio_*}} ({{20260630100000}}) sin rol; {{resolveEffectiveOrganizationId}} valida la cookie/header contra {{holding_businesses}} pero no contra {{canManageHolding}}, así que cualquier miembro del holding que setee la cookie a mano opera sobre un negocio.

*Qué hay que hacer:* exigir {{canManageHolding}} en {{resolveEffectiveOrganizationId}} y en {{get_my_holding_business_org_ids()}}.

*Criterio de aceptación:* Un miembro del holding que no es founder ni is_holding_admin, con la cookie limitless_active_org seteada a mano a un negocio, sigue viendo los datos del holding y no los del negocio; con su JWT no puede leer por PostgREST clientes, llamadas ni conversaciones de los negocios del portfolio; el founder del holding sigue entrando y leyendo el portfolio como antes

*Dónde:* {{apps/web/lib/holding/resolve-org.ts}}, migración nueva.

Fuente: PENDIENTES.md [HOLDING-PORTFOLIO-ROL] · Doc del área: docs/areas/plataforma.md",HOLDING-PORTFOLIO-ROL,Plataforma,P1,seguridad
"[DISCORD-VINCULAR-EMAIL-AJENO] !vincular acepta el email de otro alumno (nuevo, amplía auditoría §3.10)",Bug,High,plataforma,p1,seguridad,,,"*Tipo:* seguridad

*Estado verificado:* {{apps/discord-bot/src/handlers/link-handler.ts}} vincula con cualquier email exacto de un cliente de la org, sin confirmar que la persona sea dueña. Con el bot hablando, además auto-vincula por nombre visible >0.85 (dato que controla el usuario).

*Qué hay que hacer:* mandar el match por email también al buzón (o confirmar por mail); quitar el auto-vínculo por nombre.

*Criterio de aceptación:* Escribir !vincular <email de otro cliente> desde una cuenta de Discord cualquiera no crea el vínculo: queda en el buzón de vinculaciones pendientes (o pendiente de confirmación por mail); un nombre visible parecido al de un cliente ya no vincula automáticamente con el bot hablando; hay un test del árbol de decisión de !vincular con esos casos

*Dónde:* {{apps/discord-bot/src/handlers/link-handler.ts}}.

Fuente: PENDIENTES.md [DISCORD-VINCULAR-EMAIL-AJENO] · Doc del área: docs/areas/plataforma.md",DISCORD-VINCULAR-EMAIL-AJENO,Plataforma,P1,seguridad
[DISCORD-VINCULO-SIN-REATRIBUIR] Resolver el buzón no reasigna los mensajes viejos (nuevo),Bug,High,plataforma,p1,bug,,,"*Tipo:* bug

*Estado verificado:* {{linkDiscordClientManuallyAction}} ({{app/discord/actions.ts:1227}}) hace upsert en {{discord_client_links}} sin llamar {{recalcularAtribucion}}; {{linkDiscordPersonAction}} sí (línea 908). El {{!vincular}} del bot tampoco reatribuye. La actividad de la ficha filtra por {{discord_messages.client_id}}, así que los mensajes previos no aparecen.

*Qué hay que hacer:* llamar {{recalcularAtribucion(supabase, org, { discordUserId })}} en {{linkDiscordClientManuallyAction}}; para el bot, reatribuir en {{saveClientLink}} o en un paso del cron.

*Criterio de aceptación:* Resolver una vinculación desde el buzón hace que en la ficha del cliente aparezcan los mensajes que esa persona escribió antes del vínculo; lo mismo después de un !vincular exitoso en el bot (en el momento o tras el cron); se ejecutó el paso 6 del bloque «Discord — canales y personas» de verificacion-manual.md y quedó anotado

*Dónde:* {{apps/web/app/discord/actions.ts}}, {{apps/discord-bot/src/lib/supabase.ts}}.

Fuente: PENDIENTES.md [DISCORD-VINCULO-SIN-REATRIBUIR] · Doc del área: docs/areas/plataforma.md",DISCORD-VINCULO-SIN-REATRIBUIR,Plataforma,P1,bug
[E-RETENCION] Retención de mensajes de terceros en Discord,Task,High,plataforma,p1,decision-de-negocio,,,"*Tipo:* decisión de negocio

*Estado verificado:* no hay borrado ni TTL sobre {{discord_messages}}; no hay aviso en el servidor.

*Qué hay que hacer:* decidir plazo y aviso antes de instalar el bot en el servidor de un cliente; implementar un cron de purga.

*Criterio de aceptación:* Agustín decidió el plazo de retención de los mensajes de Discord y el aviso a mostrar en el servidor, y la decisión quedó registrada en docs/areas/discord.md; existe un cron que borra de discord_messages los mensajes más viejos que ese plazo y, corrido en una org de prueba, deja sólo los mensajes dentro del plazo

*Dónde:* {{discord_messages}}, {{apps/web/app/api/cron/}}.

Fuente: PENDIENTES.md [E-RETENCION] · Doc del área: docs/areas/plataforma.md",E-RETENCION,Plataforma,P1,decisión de negocio
[SIGNUP-PUBLICO] Cualquiera puede crearse una org founder (nuevo),Task,High,plataforma,p1,decision-de-negocio,seguridad,,"*Tipo:* decisión de negocio / seguridad

*Estado verificado:* {{/login}} tiene toggle ""Crear cuenta"" → {{signUpAction}} → {{ensureUserBootstrap}} crea org + founder. Esa org usa la {{ANTHROPIC_API_KEY}} global.

*Qué hay que hacer:* decidir si el alta es sólo por super admin/trial. Si sí: sacar el toggle y el action, y desactivar signups en Supabase Auth.

*Criterio de aceptación:* Agustín decidió si el alta de cuentas founder es pública o sólo por super admin/prueba y la decisión quedó registrada en docs/arquitectura/auth-organizaciones-y-permisos.md; si es cerrada: /login ya no muestra «Crear cuenta», llamar signUpAction falla y el signup está desactivado en Supabase Auth

*Dónde:* {{apps/web/components/auth/supabase-login-form.tsx}}, {{apps/web/app/auth/actions.ts}}.

Fuente: PENDIENTES.md [SIGNUP-PUBLICO] · Doc del área: docs/areas/plataforma.md",SIGNUP-PUBLICO,Plataforma,P1,decisión de negocio / seguridad
[LOGIN-RATE-LIMIT] Rate limit de login sólo por email,Bug,High,plataforma,p1,seguridad,,,"*Tipo:* seguridad

*Estado verificado:* {{authRateLimit(}}signin:${email}{{)}} 5/15 min ({{app/auth/actions.ts:119}}, {{lib/rate-limit.ts}}). Sin clave por IP, sin captcha: cualquiera bloquea a otro y el spraying no se limita.

*Qué hay que hacer:* doble clave IP + email; captcha tras N fallos.

*Criterio de aceptación:* Seis intentos fallidos con el email de otra persona desde una IP no impiden que esa persona entre desde otra IP; muchos intentos desde una misma IP contra emails distintos quedan bloqueados; después de N fallos el login pide captcha

*Dónde:* {{apps/web/app/auth/actions.ts}}, {{apps/web/lib/rate-limit.ts}}.

Fuente: PENDIENTES.md [LOGIN-RATE-LIMIT] · Doc del área: docs/areas/plataforma.md",LOGIN-RATE-LIMIT,Plataforma,P1,seguridad
[BAJAS-SIN-PROBAR] La baja del super admin nunca se ejecutó entera,Task,High,plataforma,p1,verificacion-manual,,,"*Tipo:* verificación manual

*Estado verificado:* código completo en {{app/super-admin/delete-actions.ts}} y {{lib/super-admin/execute-deletion.ts}}; CHANGES no registra una ejecución real.

*Qué hay que hacer:* bloque ""Bajas"" de {{docs/operacion/verificacion-manual.md}} § Plataforma.

*Criterio de aceptación:* Se ejecutó el bloque «Bajas del super admin» de verificacion-manual.md con una org descartable y el resultado de cada paso quedó anotado (en particular: el founder dado de baja no puede entrar, no quedan archivos en Storage y super_admin_deletions tiene la fila con problemas vacío); si algo falló, se abrió un ítem nuevo

*Dónde:* super admin → organizaciones → baja.

Fuente: PENDIENTES.md [BAJAS-SIN-PROBAR] · Doc del área: docs/areas/plataforma.md",BAJAS-SIN-PROBAR,Plataforma,P1,verificación manual
"[DISCORD-SIN-PROBAR] Canales, equipo, sugerencias y atribución sin probar",Task,High,plataforma,p1,verificacion-manual,,,"*Tipo:* verificación manual

*Estado verificado:* migraciones aplicadas; ningún registro de prueba en CHANGES.

*Qué hay que hacer:* bloque ""Discord — canales y personas"" de {{docs/operacion/verificacion-manual.md}} § Plataforma.

*Criterio de aceptación:* Se ejecutó el bloque «Discord — canales y personas» de verificacion-manual.md con el bot desplegado y un servidor real, y el resultado de cada paso quedó anotado; si algo falló, se abrió un ítem nuevo

*Dónde:* {{/integrations/discord}}.

Fuente: PENDIENTES.md [DISCORD-SIN-PROBAR] · Doc del área: docs/areas/plataforma.md",DISCORD-SIN-PROBAR,Plataforma,P1,verificación manual
[PERMISOS-VERIFICAR-SESION] Probar el bloqueo con un rol limitado (ex bloque de PLAN_VERIFICACION),Task,High,plataforma,p1,verificacion-manual,,,"*Tipo:* verificación manual

*Estado verificado:* nunca se probó con una segunda cuenta.

*Qué hay que hacer:* bloque ""Permisos por módulo"" de {{docs/operacion/verificacion-manual.md}} § Plataforma.

*Criterio de aceptación:* Se ejecutó el bloque «Permisos por módulo con un rol limitado» de verificacion-manual.md con una segunda cuenta member y el resultado de cada paso quedó anotado; si algo falló, se abrió un ítem nuevo

*Dónde:* {{/team/roles}}, sesión de member.

Fuente: PENDIENTES.md [PERMISOS-VERIFICAR-SESION] · Doc del área: docs/areas/plataforma.md",PERMISOS-VERIFICAR-SESION,Plataforma,P1,verificación manual
